Body/Organization,Category,Prize Name,Subcategories,Deadline,Status,Info URL,Application URL
Sugar Research Australia (SRA),Research & Development Corp,Sugar Industry Postgraduate Research Scholarships (SPRS),PhD; Masters by Research,"Aug 31, 2026",Annual,https://sugarresearch.com.au/research-and-development/scholarships/,https://sugarresearch.com.au/research-and-development/scholarships/
Wine Australia,Research & Development Corp,Wine Australia PhD and Masters Scholarships,Supplementary PhD; Tony Jordan OAM Award (Top Merit),Nov 2026,Annual,https://www.wineaustralia.com/research/scholarships,https://www.wineaustralia.com/research/scholarships
Meat & Livestock Australia (MLA),Research & Development Corp,MLA Postgraduate Scholarships,PhD Support; Red Meat Industry Research,Varies,Contact MLA,https://www.mla.com.au/research-and-development/funding-opportunities/,https://www.mla.com.au/research-and-development/funding-opportunities/
Association of Australian Medical Research Institutes (AAMRI),Medical Research Institute,AAMRI Rising Star Award,Mid-Career Researcher; Medical Research Excellence,Apr 2027,Expected,https://aamri.org.au/rising-star-award/,https://aamri.org.au/rising-star-award/
Victor Chang Cardiac Research Institute,Medical Research Institute,Victor Chang School Science Awards,Year 11 Students; STEM Education,Nov 2026,Annual,https://www.victorchang.edu.au/school-awards,https://www.victorchang.edu.au/school-awards
Burnet Institute,Medical Research Institute,Burnet Institute Awards,Gust-McKenzie Medal (Mid-Career); Alastair Lucas Prize (Early-Career); Frank Fenner Award,Oct 2026,Annual,https://www.burnet.edu.au/about/awards/,https://www.burnet.edu.au/about/awards/
QIMR Berghofer Medical Research Institute,Medical Research Institute,QIMR Berghofer Student Scholarships,PhD Scholarships; Honours Scholarships; Masters Scholarships,"Aug 24 (PhD) 2026; Mar 27, 2026",Honours,https://www.qimrberghofer.edu.au/students/,https://www.qimrberghofer.edu.au/students/
AusIMM (Australasian Institute of Mining and Metallurgy),Professional Society,AusIMM Awards,Institute Medal (Highest Honour); President's Award; Professional Excellence Awards; Emerging Leader of the Year,"Jun 28, 2026",Confirmed,https://www.ausimm.com/about/awards/,https://www.ausimm.com/about/awards/
Materials Australia,Professional Society,Materials Australia Silver Medal,Silver Medal (Highest Honour); Florence Taylor Medal; Ian Polmear Early Career Research Award,"Feb 1, 2026",Approximate,https://www.materialsaustralia.com.au,https://www.materialsaustralia.com.au
Defence Science and Technology Group (DSTG),National Government,Minister's Award for Achievement in Defence Science,Research Excellence in National Defence; Innovation for Safeguarding Australia,May 2026,Annual,https://www.dst.defence.gov.au/awards,https://www.dst.defence.gov.au/awards
Australian Museum / DSTG,Statutory Body,Eureka Prize for Outstanding Science in Safeguarding Australia,Defence Science; National Security; Safeguarding Australia,May 2026,Expected,https://australianmuseum.net.au/get-involved/eureka-prizes/safeguarding-australia/,https://australianmuseum.net.au/get-involved/eureka-prizes/safeguarding-australia/
Sydney Quantum Academy (SQA),University,SQA Quantum Scholarships,PhD Scholarships; Honours Scholarships; Masters Scholarships,"Oct 8, 2026 (PhD); Dec 9, 2026",Honours,https://sydneyquantum.org/programs/scholarships/,https://sydneyquantum.org/programs/scholarships/
Clean Energy Council,Professional Society,Clean Energy Council Awards,Innovation Award; Collaboration Award; Leadership Award; Equity & Diversity Award,"Jun 1, 2026",Confirmed,https://www.cleanenergycouncil.org.au/about/awards,https://www.cleanenergycouncil.org.au/about/awards
AusBiotech,Professional Society,AusBiotech Industry Excellence Awards,Industry Leadership Award; Australian Company of the Year; Emerging Company of the Year,Sep 2026,Annual,https://www.ausbiotech.org,https://www.ausbiotech.org
Pearcey Foundation,Philanthropic / NGO,Pearcey Medal,Pearcey Medal (Lifetime Achievement); Hall of Fame; State Entrepreneur Awards,All Year (Medal) 2026; Aug 2026,State Awards,https://www.pearcey.org.au,https://www.pearcey.org.au
AIIA (Australian Information Industry Association),Professional Society,iAwards,Digital Innovation; AI & Machine Learning; Industrial & Primary Industries; Sustainability & Green IT,May 2026,Annual,https://www.aiia.com.au/iawards,https://www.aiia.com.au/iawards
Momentum Media,Corporate,Australian AI Awards,AI Professional of the Year; AI Startup of the Year; Industry-specific AI Innovation (Defence; Health; Finance),TBA 2026,,https://www.australianaiawards.com.au,https://www.australianaiawards.com.au
FinTech Australia,Professional Society,The Finnies,FinTech Organisation of the Year; Outstanding Social Impact; Excellence in Industry-specific FinTech,Mar 2026,Annual,https://www.fintechaustralia.org.au/the-finnies,https://www.fintechaustralia.org.au/the-finnies
AISA (Australian Information Security Association),Professional Society,Cyber Security Awards,Cyber Security Professional of the Year; Cyber Security Startup; Outreach & Education,Oct 2026,Annual,https://www.aisa.org.au,https://www.aisa.org.au
AIFST (Australian Institute of Food Science and Technology),Professional Society,AIFST Awards,Keith Farrer Award of Merit; Food Industry Innovation Award; Young Leader Award,May 2026,Annual,https://www.aifst.asn.au/AIFST-Awards,https://www.aifst.asn.au/AIFST-Awards
